entity_id	pdb_id	fusion_partner	fusion_accession	target_accession	topology	method	resolution	representative_chain	entity_length	target_modelled	fusion_modelled	target_disorder	fusion_disorder	align_coverage_of_modelled	n_alternative_entries	status	description
4EJ4_1	4EJ4	T4L	P00720	P32300	INTERNAL_INSERTION	X-RAY DIFFRACTION	3.4	A	461	282	160	0.0631	0.0	1.0	0	CONFIRMATORY_FINAL	Delta-type opioid receptor, Lysozyme chimera
6KPC_1	6KPC	T4L	P00720	P34972	INTERNAL_INSERTION	X-RAY DIFFRACTION	3.2	A	500	283	160	0.0341	0.0	0.9955	0	CONFIRMATORY_FINAL	Cannabinoid receptor 2,Endolysin
4K5Y_1	4K5Y	T4L	P00720	P34998	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.977	A	441	247	160	0.0749	0.0	1.0	0	CONFIRMATORY_FINAL	Corticotropin-releasing factor receptor 1, T4-Lysozyme chimeric construct
3RZE_1	3RZE	T4L	P00720	P35367	INTERNAL_INSERTION	X-RAY DIFFRACTION	3.1	A	452	269	159	0.0594	0.0	1.0	0	CONFIRMATORY_FINAL	Histamine H1 receptor, Lysozyme chimera
3PBL_1	3PBL	T4L	P00720	P35462	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.89	A	481	272	160	0.0993	0.0	1.0	0	CONFIRMATORY_FINAL	D(3) dopamine receptor, Lysozyme chimera
6FFI_1	6FFI	T4L	P00720	P41594	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.2	A	444	248	161	0.0712	0.0	0.9976	7	CONFIRMATORY_FINAL	Metabotropic glutamate receptor 5,Endolysin,Metabotropic glutamate receptor 5
5T1A_1	5T1A	T4L	P00720	P41597	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.806	A	508	282	161	0.1104	0.0	0.9955	0	CONFIRMATORY_FINAL	Chimera protein of CC chemokine receptor type 2 isoform B and T4-lysozyme,Lysozyme
4DKL_1	4DKL	T4L	P00720	P42866	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.8	A	464	282	160	0.0693	0.0	1.0	0	CONFIRMATORY_FINAL	Mu-type opioid receptor, lysozyme chimera
6M9T_1	6M9T	T4L	P00720	P43115	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.5	A	537	273	160	0.1947	0.0	0.9752	0	CONFIRMATORY_FINAL	Prostaglandin E2 receptor EP3 subtype, Endolysin chimera
5VEW_1	5VEW	T4L	P00720	P43220	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.7	A	455	263	160	0.0993	0.0	1.0	4	CONFIRMATORY_FINAL	Glucagon-like peptide 1 receptor,Endolysin chimera
5EE7_1	5EE7	T4L	P00720	P47871	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.5	A	452	257	156	0.0755	0.0189	0.9928	3	CONFIRMATORY_FINAL	Glucagon receptor,Endolysin,Glucagon receptor
5XSZ_1	5XSZ	T4L	P00720	Q08BG4	INTERNAL_INSERTION	X-RAY DIFFRACTION	3.2	A	477	279	160	0.0912	0.0	0.9799	0	CONFIRMATORY_FINAL	Lysophosphatidic acid receptor 6a,Endolysin,Lysophosphatidic acid receptor 6a
4N9N_1	4N9N	T4L	P00720	Q12151	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.9	A	438	264	160	0.0222	0.0	0.9907	0	CONFIRMATORY_FINAL	Sterol uptake control protein 2, Lysozyme
7Z36_1	7Z36	T4L	P00720	Q13263	TERMINAL_N	X-RAY DIFFRACTION	2.8	A	482	265	160	0.1047	0.0	0.9815	0	CONFIRMATORY_FINAL	Endolysin,Transcription intermediary factor 1-beta,Isoform 2 of Transcription intermediary factor 1-beta
6D9M_1	6D9M	T4L	P00720	Q39UD1	TERMINAL_N	X-RAY DIFFRACTION	1.35	A	337	163	161	0.0181	0.0	0.9939	0	CONFIRMATORY_FINAL	Fusion protein of Endolysin,Response receiver sensor diguanylate cyclase, GAF domain-containing
4EPI_1	4EPI	T4L	P00720	Q57159	COMPLEX	X-RAY DIFFRACTION	1.74	A	330	168	160	0.0059	0.0	0.997	2	CONFIRMATORY_FINAL	Pesticin, Lysozyme Chimera
29AJ_1	29AJ	T4L	P00720	Q5VT66	INTERNAL_INSERTION	X-RAY DIFFRACTION	1.63	D	455	282	161	0.0035	0.0	0.9977	1	CONFIRMATORY_FINAL	Mitochondrial amidoxime-reducing component 1,Endolysin
6IIH_1	6IIH	T4L	P00720	Q8IYU8	TERMINAL_N	X-RAY DIFFRACTION	1.958	A	493	283	161	0.1211	0.0	0.9955	0	CONFIRMATORY_FINAL	Endolysin,Calcium uptake protein 2, mitochondrial
4WTV_1	4WTV	T4L	P00720	Q8TCG2	INTERNAL_INSERTION	X-RAY DIFFRACTION	1.9	A	514	284	163	0.1909	0.0	1.0	2	CONFIRMATORY_FINAL	Phosphatidylinositol 4-kinase type 2-beta,Endolysin,Phosphatidylinositol 4-kinase type 2-beta
5EUT_1	5EUT	T4L	P00720	Q9BTU6	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.802	A	556	319	163	0.1736	0.0	0.9938	0	CONFIRMATORY_FINAL	Phosphatidylinositol 4-kinase type 2-alpha,Endolysin,Phosphatidylinositol 4-kinase type 2-alpha
6D27_1	6D27	T4L	P00720	Q9Y5Y4	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.738	A	470	319	101	0.059	0.0	0.9481	1	CONFIRMATORY_FINAL	Prostaglandin D2 receptor 2, Endolysin chimera
